GeoAreaName,TimePeriod,Indicator,Value,SDG,Region
India,2017,Maternal Mortality Ratio (per 100k births),35.02,SDG 3,South Asia
India,2018,Maternal Mortality Ratio (per 100k births),35.0,SDG 3,South Asia
India,2019,Maternal Mortality Ratio (per 100k births),34.71,SDG 3,South Asia
India,2020,Maternal Mortality Ratio (per 100k births),31.87,SDG 3,South Asia
India,2021,Maternal Mortality Ratio (per 100k births),34.76,SDG 3,South Asia
India,2022,Maternal Mortality Ratio (per 100k births),33.76,SDG 3,South Asia
India,2023,Maternal Mortality Ratio (per 100k births),31.63,SDG 3,South Asia
India,2024,Maternal Mortality Ratio (per 100k births),30.0,SDG 3,South Asia
India,2000,"Under-5 Mortality Rate (per 1,000 live births)",47.76,SDG 3,South Asia
India,2001,"Under-5 Mortality Rate (per 1,000 live births)",48.02,SDG 3,South Asia
India,2002,"Under-5 Mortality Rate (per 1,000 live births)",49.52,SDG 3,South Asia
India,2003,"Under-5 Mortality Rate (per 1,000 live births)",47.28,SDG 3,South Asia
India,2004,"Under-5 Mortality Rate (per 1,000 live births)",46.16,SDG 3,South Asia
India,2005,"Under-5 Mortality Rate (per 1,000 live births)",46.75,SDG 3,South Asia
India,2006,"Under-5 Mortality Rate (per 1,000 live births)",46.94,SDG 3,South Asia
India,2007,"Under-5 Mortality Rate (per 1,000 live births)",44.79,SDG 3,South Asia
India,2008,"Under-5 Mortality Rate (per 1,000 live births)",44.07,SDG 3,South Asia
India,2009,"Under-5 Mortality Rate (per 1,000 live births)",44.86,SDG 3,South Asia
India,2010,"Under-5 Mortality Rate (per 1,000 live births)",42.26,SDG 3,South Asia
India,2011,"Under-5 Mortality Rate (per 1,000 live births)",40.74,SDG 3,South Asia
India,2012,"Under-5 Mortality Rate (per 1,000 live births)",41.41,SDG 3,South Asia
India,2013,"Under-5 Mortality Rate (per 1,000 live births)",39.22,SDG 3,South Asia
India,2014,"Under-5 Mortality Rate (per 1,000 live births)",38.25,SDG 3,South Asia
India,2015,"Under-5 Mortality Rate (per 1,000 live births)",39.91,SDG 3,South Asia
India,2016,"Under-5 Mortality Rate (per 1,000 live births)",36.76,SDG 3,South Asia
India,2017,"Under-5 Mortality Rate (per 1,000 live births)",32.42,SDG 3,South Asia
India,2018,"Under-5 Mortality Rate (per 1,000 live births)",36.12,SDG 3,South Asia
India,2019,"Under-5 Mortality Rate (per 1,000 live births)",34.21,SDG 3,South Asia
India,2020,"Under-5 Mortality Rate (per 1,000 live births)",33.57,SDG 3,South Asia
India,2021,"Under-5 Mortality Rate (per 1,000 live births)",33.88,SDG 3,South Asia
India,2022,"Under-5 Mortality Rate (per 1,000 live births)",32.15,SDG 3,South Asia
India,2023,"Under-5 Mortality Rate (per 1,000 live births)",31.92,SDG 3,South Asia
India,2024,"Under-5 Mortality Rate (per 1,000 live births)",27.77,SDG 3,South Asia
India,2000,Safely Managed Drinking Water (%),58.59,SDG 6,South Asia
India,2001,Safely Managed Drinking Water (%),62.91,SDG 6,South Asia
India,2002,Safely Managed Drinking Water (%),61.57,SDG 6,South Asia
India,2003,Safely Managed Drinking Water (%),59.89,SDG 6,South Asia
India,2004,Safely Managed Drinking Water (%),61.59,SDG 6,South Asia
India,2005,Safely Managed Drinking Water (%),62.51,SDG 6,South Asia
India,2006,Safely Managed Drinking Water (%),64.95,SDG 6,South Asia
India,2007,Safely Managed Drinking Water (%),64.95,SDG 6,South Asia
India,2008,Safely Managed Drinking Water (%),65.41,SDG 6,South Asia
India,2009,Safely Managed Drinking Water (%),67.21,SDG 6,South Asia
India,2010,Safely Managed Drinking Water (%),68.72,SDG 6,South Asia
India,2011,Safely Managed Drinking Water (%),68.41,SDG 6,South Asia
India,2012,Safely Managed Drinking Water (%),68.74,SDG 6,South Asia
India,2013,Safely Managed Drinking Water (%),69.77,SDG 6,South Asia
India,2014,Safely Managed Drinking Water (%),71.71,SDG 6,South Asia
India,2015,Safely Managed Drinking Water (%),71.99,SDG 6,South Asia
India,2016,Safely Managed Drinking Water (%),73.95,SDG 6,South Asia
India,2017,Safely Managed Drinking Water (%),71.88,SDG 6,South Asia
India,2018,Safely Managed Drinking Water (%),73.24,SDG 6,South Asia
India,2019,Safely Managed Drinking Water (%),76.36,SDG 6,South Asia
India,2020,Safely Managed Drinking Water (%),74.8,SDG 6,South Asia
India,2021,Safely Managed Drinking Water (%),78.88,SDG 6,South Asia
India,2022,Safely Managed Drinking Water (%),79.71,SDG 6,South Asia
India,2023,Safely Managed Drinking Water (%),80.49,SDG 6,South Asia
India,2024,Safely Managed Drinking Water (%),77.88,SDG 6,South Asia
India,2000,Open Defecation Practice (%),50.12,SDG 6,South Asia
India,2001,Open Defecation Practice (%),48.46,SDG 6,South Asia
India,2002,Open Defecation Practice (%),49.78,SDG 6,South Asia
India,2003,Open Defecation Practice (%),50.16,SDG 6,South Asia
India,2004,Open Defecation Practice (%),48.11,SDG 6,South Asia
India,2005,Open Defecation Practice (%),46.01,SDG 6,South Asia
India,2006,Open Defecation Practice (%),44.65,SDG 6,South Asia
India,2007,Open Defecation Practice (%),45.37,SDG 6,South Asia
India,2008,Open Defecation Practice (%),41.77,SDG 6,South Asia
India,2009,Open Defecation Practice (%),43.6,SDG 6,South Asia
India,2010,Open Defecation Practice (%),40.63,SDG 6,South Asia
India,2011,Open Defecation Practice (%),42.13,SDG 6,South Asia
India,2012,Open Defecation Practice (%),40.16,SDG 6,South Asia
India,2013,Open Defecation Practice (%),39.02,SDG 6,South Asia
India,2014,Open Defecation Practice (%),37.47,SDG 6,South Asia
India,2015,Open Defecation Practice (%),37.46,SDG 6,South Asia
India,2016,Open Defecation Practice (%),38.03,SDG 6,South Asia
India,2017,Open Defecation Practice (%),37.97,SDG 6,South Asia
India,2018,Open Defecation Practice (%),36.39,SDG 6,South Asia
India,2019,Open Defecation Practice (%),36.85,SDG 6,South Asia
India,2020,Open Defecation Practice (%),37.81,SDG 6,South Asia
India,2021,Open Defecation Practice (%),32.71,SDG 6,South Asia
India,2022,Open Defecation Practice (%),32.09,SDG 6,South Asia
India,2023,Open Defecation Practice (%),29.44,SDG 6,South Asia
India,2024,Open Defecation Practice (%),32.59,SDG 6,South Asia
Pakistan,2000,Prevalence of Undernourishment (%),47.77,SDG 2,South Asia
Pakistan,2001,Prevalence of Undernourishment (%),46.63,SDG 2,South Asia
Pakistan,2002,Prevalence of Undernourishment (%),45.76,SDG 2,South Asia
Pakistan,2003,Prevalence of Undernourishment (%),45.1,SDG 2,South Asia
Pakistan,2004,Prevalence of Undernourishment (%),42.76,SDG 2,South Asia
Pakistan,2005,Prevalence of Undernourishment (%),43.33,SDG 2,South Asia
Pakistan,2006,Prevalence of Undernourishment (%),42.62,SDG 2,South Asia
Pakistan,2007,Prevalence of Undernourishment (%),40.31,SDG 2,South Asia
Pakistan,2008,Prevalence of Undernourishment (%),43.38,SDG 2,South Asia
Pakistan,2009,Prevalence of Undernourishment (%),40.49,SDG 2,South Asia
Pakistan,2010,Prevalence of Undernourishment (%),37.2,SDG 2,South Asia
Pakistan,2011,Prevalence of Undernourishment (%),39.17,SDG 2,South Asia
Pakistan,2012,Prevalence of Undernourishment (%),35.92,SDG 2,South Asia
Pakistan,2013,Prevalence of Undernourishment (%),37.76,SDG 2,South Asia
Pakistan,2014,Prevalence of Undernourishment (%),37.52,SDG 2,South Asia
Pakistan,2015,Prevalence of Undernourishment (%),33.75,SDG 2,South Asia
Pakistan,2016,Prevalence of Undernourishment (%),35.63,SDG 2,South Asia
Pakistan,2017,Prevalence of Undernourishment (%),34.0,SDG 2,South Asia
Pakistan,2018,Prevalence of Undernourishment (%),33.82,SDG 2,South Asia
Pakistan,2019,Prevalence of Undernourishment (%),34.63,SDG 2,South Asia
Pakistan,2020,Prevalence of Undernourishment (%),30.62,SDG 2,South Asia
Pakistan,2021,Prevalence of Undernourishment (%),29.05,SDG 2,South Asia
Pakistan,2022,Prevalence of Undernourishment (%),28.05,SDG 2,South Asia
Pakistan,2023,Prevalence of Undernourishment (%),27.36,SDG 2,South Asia
Pakistan,2024,Prevalence of Undernourishment (%),27.67,SDG 2,South Asia
Pakistan,2000,Stunting in Children < 5 Years (%),47.5,SDG 2,South Asia
Pakistan,2001,Stunting in Children < 5 Years (%),46.6,SDG 2,South Asia
Pakistan,2002,Stunting in Children < 5 Years (%),46.62,SDG 2,South Asia
Pakistan,2003,Stunting in Children < 5 Years (%),44.6,SDG 2,South Asia
Pakistan,2004,Stunting in Children < 5 Years (%),45.96,SDG 2,South Asia
Pakistan,2005,Stunting in Children < 5 Years (%),42.59,SDG 2,South Asia
Pakistan,2006,Stunting in Children < 5 Years (%),46.26,SDG 2,South Asia
Pakistan,2007,Stunting in Children < 5 Years (%),42.32,SDG 2,South Asia
Pakistan,2008,Stunting in Children < 5 Years (%),39.3,SDG 2,South Asia
Pakistan,2009,Stunting in Children < 5 Years (%),38.18,SDG 2,South Asia
Pakistan,2010,Stunting in Children < 5 Years (%),39.71,SDG 2,South Asia
Pakistan,2011,Stunting in Children < 5 Years (%),37.85,SDG 2,South Asia
Pakistan,2012,Stunting in Children < 5 Years (%),38.46,SDG 2,South Asia
Pakistan,2013,Stunting in Children < 5 Years (%),37.29,SDG 2,South Asia
Pakistan,2014,Stunting in Children < 5 Years (%),35.67,SDG 2,South Asia
Pakistan,2015,Stunting in Children < 5 Years (%),33.71,SDG 2,South Asia
Pakistan,2016,Stunting in Children < 5 Years (%),31.91,SDG 2,South Asia
Pakistan,2017,Stunting in Children < 5 Years (%),32.71,SDG 2,South Asia
Pakistan,2018,Stunting in Children < 5 Years (%),33.87,SDG 2,South Asia
Pakistan,2019,Stunting in Children < 5 Years (%),32.11,SDG 2,South Asia
Pakistan,2020,Stunting in Children < 5 Years (%),29.12,SDG 2,South Asia
Pakistan,2021,Stunting in Children < 5 Years (%),30.44,SDG 2,South Asia
Pakistan,2022,Stunting in Children < 5 Years (%),29.96,SDG 2,South Asia
Pakistan,2023,Stunting in Children < 5 Years (%),27.26,SDG 2,South Asia
Pakistan,2024,Stunting in Children < 5 Years (%),28.01,SDG 2,South Asia
Pakistan,2000,Maternal Mortality Ratio (per 100k births),47.07,SDG 3,South Asia
Pakistan,2001,Maternal Mortality Ratio (per 100k births),44.47,SDG 3,South Asia
Pakistan,2002,Maternal Mortality Ratio (per 100k births),45.92,SDG 3,South Asia
Pakistan,2003,Maternal Mortality Ratio (per 100k births),45.43,SDG 3,South Asia
Pakistan,2004,Maternal Mortality Ratio (per 100k births),45.41,SDG 3,South Asia
Pakistan,2005,Maternal Mortality Ratio (per 100k births),44.56,SDG 3,South Asia
Pakistan,2006,Maternal Mortality Ratio (per 100k births),40.12,SDG 3,South Asia
Pakistan,2007,Maternal Mortality Ratio (per 100k births),39.98,SDG 3,South Asia
Pakistan,2008,Maternal Mortality Ratio (per 100k births),41.36,SDG 3,South Asia
Pakistan,2009,Maternal Mortality Ratio (per 100k births),40.55,SDG 3,South Asia
Pakistan,2010,Maternal Mortality Ratio (per 100k births),39.76,SDG 3,South Asia
Pakistan,2011,Maternal Mortality Ratio (per 100k births),43.96,SDG 3,South Asia
Pakistan,2012,Maternal Mortality Ratio (per 100k births),38.24,SDG 3,South Asia
Pakistan,2013,Maternal Mortality Ratio (per 100k births),38.29,SDG 3,South Asia
Pakistan,2014,Maternal Mortality Ratio (per 100k births),37.22,SDG 3,South Asia
Pakistan,2015,Maternal Mortality Ratio (per 100k births),35.96,SDG 3,South Asia
Pakistan,2016,Maternal Mortality Ratio (per 100k births),33.71,SDG 3,South Asia
Pakistan,2017,Maternal Mortality Ratio (per 100k births),34.52,SDG 3,South Asia
Pakistan,2018,Maternal Mortality Ratio (per 100k births),31.42,SDG 3,South Asia
Pakistan,2019,Maternal Mortality Ratio (per 100k births),31.43,SDG 3,South Asia
Pakistan,2020,Maternal Mortality Ratio (per 100k births),30.26,SDG 3,South Asia
Pakistan,2021,Maternal Mortality Ratio (per 100k births),30.31,SDG 3,South Asia
Pakistan,2022,Maternal Mortality Ratio (per 100k births),32.86,SDG 3,South Asia
Pakistan,2023,Maternal Mortality Ratio (per 100k births),25.78,SDG 3,South Asia
Pakistan,2024,Maternal Mortality Ratio (per 100k births),28.81,SDG 3,South Asia
Pakistan,2000,"Under-5 Mortality Rate (per 1,000 live births)",44.57,SDG 3,South Asia
Pakistan,2001,"Under-5 Mortality Rate (per 1,000 live births)",45.48,SDG 3,South Asia
Pakistan,2002,"Under-5 Mortality Rate (per 1,000 live births)",47.02,SDG 3,South Asia
Pakistan,2003,"Under-5 Mortality Rate (per 1,000 live births)",44.68,SDG 3,South Asia
Pakistan,2004,"Under-5 Mortality Rate (per 1,000 live births)",42.17,SDG 3,South Asia
Pakistan,2005,"Under-5 Mortality Rate (per 1,000 live births)",41.91,SDG 3,South Asia
Pakistan,2006,"Under-5 Mortality Rate (per 1,000 live births)",43.2,SDG 3,South Asia
Pakistan,2007,"Under-5 Mortality Rate (per 1,000 live births)",40.29,SDG 3,South Asia
Pakistan,2008,"Under-5 Mortality Rate (per 1,000 live births)",40.91,SDG 3,South Asia
Pakistan,2009,"Under-5 Mortality Rate (per 1,000 live births)",39.85,SDG 3,South Asia
Pakistan,2010,"Under-5 Mortality Rate (per 1,000 live births)",38.01,SDG 3,South Asia
Pakistan,2011,"Under-5 Mortality Rate (per 1,000 live births)",41.4,SDG 3,South Asia
Pakistan,2012,"Under-5 Mortality Rate (per 1,000 live births)",38.34,SDG 3,South Asia
Pakistan,2013,"Under-5 Mortality Rate (per 1,000 live births)",33.55,SDG 3,South Asia
Pakistan,2014,"Under-5 Mortality Rate (per 1,000 live births)",36.06,SDG 3,South Asia
Pakistan,2015,"Under-5 Mortality Rate (per 1,000 live births)",33.99,SDG 3,South Asia
Pakistan,2016,"Under-5 Mortality Rate (per 1,000 live births)",35.46,SDG 3,South Asia
Pakistan,2017,"Under-5 Mortality Rate (per 1,000 live births)",32.2,SDG 3,South Asia
Pakistan,2018,"Under-5 Mortality Rate (per 1,000 live births)",32.41,SDG 3,South Asia
Pakistan,2019,"Under-5 Mortality Rate (per 1,000 live births)",32.54,SDG 3,South Asia
Pakistan,2020,"Under-5 Mortality Rate (per 1,000 live births)",32.28,SDG 3,South Asia
Pakistan,2021,"Under-5 Mortality Rate (per 1,000 live births)",28.38,SDG 3,South Asia
Pakistan,2022,"Under-5 Mortality Rate (per 1,000 live births)",28.88,SDG 3,South Asia
Pakistan,2023,"Under-5 Mortality Rate (per 1,000 live births)",27.87,SDG 3,South Asia
Pakistan,2024,"Under-5 Mortality Rate (per 1,000 live births)",26.8,SDG 3,South Asia
Pakistan,2000,Safely Managed Drinking Water (%),59.63,SDG 6,South Asia
Pakistan,2001,Safely Managed Drinking Water (%),58.39,SDG 6,South Asia
Pakistan,2002,Safely Managed Drinking Water (%),56.69,SDG 6,South Asia
Pakistan,2003,Safely Managed Drinking Water (%),60.76,SDG 6,South Asia
Pakistan,2004,Safely Managed Drinking Water (%),63.37,SDG 6,South Asia
Pakistan,2005,Safely Managed Drinking Water (%),62.53,SDG 6,South Asia
Pakistan,2006,Safely Managed Drinking Water (%),59.51,SDG 6,South Asia
Pakistan,2007,Safely Managed Drinking Water (%),61.86,SDG 6,South Asia
Pakistan,2008,Safely Managed Drinking Water (%),65.28,SDG 6,South Asia
Pakistan,2009,Safely Managed Drinking Water (%),63.12,SDG 6,South Asia
Pakistan,2010,Safely Managed Drinking Water (%),65.65,SDG 6,South Asia
Pakistan,2011,Safely Managed Drinking Water (%),66.95,SDG 6,South Asia
Pakistan,2012,Safely Managed Drinking Water (%),65.19,SDG 6,South Asia
Pakistan,2013,Safely Managed Drinking Water (%),67.29,SDG 6,South Asia
Pakistan,2014,Safely Managed Drinking Water (%),63.32,SDG 6,South Asia
Pakistan,2015,Safely Managed Drinking Water (%),67.45,SDG 6,South Asia
Pakistan,2016,Safely Managed Drinking Water (%),69.41,SDG 6,South Asia
Pakistan,2017,Safely Managed Drinking Water (%),68.71,SDG 6,South Asia
Pakistan,2018,Safely Managed Drinking Water (%),73.83,SDG 6,South Asia
Pakistan,2019,Safely Managed Drinking Water (%),70.04,SDG 6,South Asia
Pakistan,2020,Safely Managed Drinking Water (%),72.32,SDG 6,South Asia
Pakistan,2021,Safely Managed Drinking Water (%),73.98,SDG 6,South Asia
Pakistan,2022,Safely Managed Drinking Water (%),76.75,SDG 6,South Asia
Pakistan,2023,Safely Managed Drinking Water (%),73.23,SDG 6,South Asia
Pakistan,2024,Safely Managed Drinking Water (%),77.93,SDG 6,South Asia
Pakistan,2000,Open Defecation Practice (%),47.0,SDG 6,South Asia
Pakistan,2001,Open Defecation Practice (%),44.71,SDG 6,South Asia
Pakistan,2002,Open Defecation Practice (%),46.08,SDG 6,South Asia
Pakistan,2003,Open Defecation Practice (%),44.88,SDG 6,South Asia
Pakistan,2004,Open Defecation Practice (%),42.88,SDG 6,South Asia
Pakistan,2005,Open Defecation Practice (%),43.09,SDG 6,South Asia
Pakistan,2006,Open Defecation Practice (%),41.61,SDG 6,South Asia
Pakistan,2007,Open Defecation Practice (%),41.55,SDG 6,South Asia
Pakistan,2008,Open Defecation Practice (%),41.58,SDG 6,South Asia
Pakistan,2009,Open Defecation Practice (%),42.16,SDG 6,South Asia
Pakistan,2010,Open Defecation Practice (%),37.13,SDG 6,South Asia
Pakistan,2011,Open Defecation Practice (%),41.38,SDG 6,South Asia
Pakistan,2012,Open Defecation Practice (%),34.46,SDG 6,South Asia
Pakistan,2013,Open Defecation Practice (%),36.36,SDG 6,South Asia
Pakistan,2014,Open Defecation Practice (%),36.67,SDG 6,South Asia
Pakistan,2015,Open Defecation Practice (%),35.41,SDG 6,South Asia
Pakistan,2016,Open Defecation Practice (%),33.25,SDG 6,South Asia
Pakistan,2017,Open Defecation Practice (%),33.07,SDG 6,South Asia
Pakistan,2018,Open Defecation Practice (%),31.84,SDG 6,South Asia
Pakistan,2019,Open Defecation Practice (%),30.9,SDG 6,South Asia
Pakistan,2020,Open Defecation Practice (%),32.26,SDG 6,South Asia
Pakistan,2021,Open Defecation Practice (%),30.72,SDG 6,South Asia
Pakistan,2022,Open Defecation Practice (%),28.34,SDG 6,South Asia
Pakistan,2023,Open Defecation Practice (%),29.93,SDG 6,South Asia
Pakistan,2024,Open Defecation Practice (%),28.25,SDG 6,South Asia
Bangladesh,2000,Prevalence of Undernourishment (%),53.76,SDG 2,South Asia
Bangladesh,2001,Prevalence of Undernourishment (%),55.22,SDG 2,South Asia
Bangladesh,2002,Prevalence of Undernourishment (%),53.93,SDG 2,South Asia
Bangladesh,2003,Prevalence of Undernourishment (%),51.24,SDG 2,South Asia
Bangladesh,2004,Prevalence of Undernourishment (%),48.82,SDG 2,South Asia
Bangladesh,2005,Prevalence of Undernourishment (%),48.87,SDG 2,South Asia
Bangladesh,2006,Prevalence of Undernourishment (%),48.9,SDG 2,South Asia
Bangladesh,2007,Prevalence of Undernourishment (%),50.84,SDG 2,South Asia
Bangladesh,2008,Prevalence of Undernourishment (%),50.63,SDG 2,South Asia
Bangladesh,2009,Prevalence of Undernourishment (%),46.84,SDG 2,South Asia
Bangladesh,2010,Prevalence of Undernourishment (%),46.09,SDG 2,South Asia
Bangladesh,2011,Prevalence of Undernourishment (%),46.29,SDG 2,South Asia
Bangladesh,2012,Prevalence of Undernourishment (%),45.12,SDG 2,South Asia
Bangladesh,2013,Prevalence of Undernourishment (%),45.7,SDG 2,South Asia
Bangladesh,2014,Prevalence of Undernourishment (%),42.72,SDG 2,South Asia
Bangladesh,2015,Prevalence of Undernourishment (%),44.13,SDG 2,South Asia
Bangladesh,2016,Prevalence of Undernourishment (%),41.54,SDG 2,South Asia
Bangladesh,2017,Prevalence of Undernourishment (%),42.38,SDG 2,South Asia
Bangladesh,2018,Prevalence of Undernourishment (%),39.89,SDG 2,South Asia
Bangladesh,2019,Prevalence of Undernourishment (%),38.58,SDG 2,South Asia
Bangladesh,2020,Prevalence of Undernourishment (%),41.57,SDG 2,South Asia
Bangladesh,2021,Prevalence of Undernourishment (%),39.5,SDG 2,South Asia
Bangladesh,2022,Prevalence of Undernourishment (%),34.41,SDG 2,South Asia
Bangladesh,2023,Prevalence of Undernourishment (%),35.63,SDG 2,South Asia
Bangladesh,2024,Prevalence of Undernourishment (%),37.31,SDG 2,South Asia
Bangladesh,2000,Stunting in Children < 5 Years (%),52.91,SDG 2,South Asia
Bangladesh,2001,Stunting in Children < 5 Years (%),55.06,SDG 2,South Asia
Bangladesh,2002,Stunting in Children < 5 Years (%),54.1,SDG 2,South Asia
Bangladesh,2003,Stunting in Children < 5 Years (%),51.25,SDG 2,South Asia
Bangladesh,2004,Stunting in Children < 5 Years (%),51.49,SDG 2,South Asia
Bangladesh,2005,Stunting in Children < 5 Years (%),47.57,SDG 2,South Asia
Bangladesh,2006,Stunting in Children < 5 Years (%),52.56,SDG 2,South Asia
Bangladesh,2007,Stunting in Children < 5 Years (%),48.64,SDG 2,South Asia
Bangladesh,2008,Stunting in Children < 5 Years (%),49.51,SDG 2,South Asia
Bangladesh,2009,Stunting in Children < 5 Years (%),48.42,SDG 2,South Asia
Bangladesh,2010,Stunting in Children < 5 Years (%),48.74,SDG 2,South Asia
Bangladesh,2011,Stunting in Children < 5 Years (%),45.25,SDG 2,South Asia
Bangladesh,2012,Stunting in Children < 5 Years (%),45.41,SDG 2,South Asia
Bangladesh,2013,Stunting in Children < 5 Years (%),45.14,SDG 2,South Asia
Bangladesh,2014,Stunting in Children < 5 Years (%),44.81,SDG 2,South Asia
Bangladesh,2015,Stunting in Children < 5 Years (%),44.43,SDG 2,South Asia
Bangladesh,2016,Stunting in Children < 5 Years (%),41.19,SDG 2,South Asia
Bangladesh,2017,Stunting in Children < 5 Years (%),40.11,SDG 2,South Asia
Bangladesh,2018,Stunting in Children < 5 Years (%),42.34,SDG 2,South Asia
Bangladesh,2019,Stunting in Children < 5 Years (%),36.45,SDG 2,South Asia
Bangladesh,2020,Stunting in Children < 5 Years (%),41.06,SDG 2,South Asia
Bangladesh,2021,Stunting in Children < 5 Years (%),37.45,SDG 2,South Asia
Bangladesh,2022,Stunting in Children < 5 Years (%),37.09,SDG 2,South Asia
Bangladesh,2023,Stunting in Children < 5 Years (%),35.28,SDG 2,South Asia
Bangladesh,2024,Stunting in Children < 5 Years (%),35.43,SDG 2,South Asia
Bangladesh,2000,Maternal Mortality Ratio (per 100k births),56.61,SDG 3,South Asia
Bangladesh,2001,Maternal Mortality Ratio (per 100k births),55.06,SDG 3,South Asia
Bangladesh,2002,Maternal Mortality Ratio (per 100k births),53.84,SDG 3,South Asia
Bangladesh,2003,Maternal Mortality Ratio (per 100k births),52.43,SDG 3,South Asia
Bangladesh,2004,Maternal Mortality Ratio (per 100k births),49.33,SDG 3,South Asia
Bangladesh,2005,Maternal Mortality Ratio (per 100k births),49.44,SDG 3,South Asia
