Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,UpperBound,LowerBound,Source,FootNote,Age,Location,Nature,Observation Status,Reporting Type,Sex,Units
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),64,Bhutan,2019,20.1,2019,22,18.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),64,Bhutan,2020,19.3,2020,21.2,17.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),64,Bhutan,2021,18.7,2021,20.7,16.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),64,Bhutan,2022,18.4,2022,20.4,16.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),64,Bhutan,2023,18,2023,20.2,16.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),64,Bhutan,2024,17.9,2024,20.2,15.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),104,Myanmar,2015,29.2,2015,30.9,27.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),104,Myanmar,2016,28.6,2016,30.3,26.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),104,Myanmar,2017,27.8,2017,29.6,26,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),104,Myanmar,2018,26.9,2018,29,25,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),104,Myanmar,2019,26.2,2019,28.5,23.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),104,Myanmar,2020,25.5,2020,28.2,23,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),104,Myanmar,2021,25.1,2021,28.1,22.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),104,Myanmar,2022,24.9,2022,28.2,21.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),104,Myanmar,2023,24.7,2023,28.4,21.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),104,Myanmar,2024,24.5,2024,28.5,20.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),144,Sri Lanka,2015,14,2015,14.7,13.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),144,Sri Lanka,2016,13.3,2016,14,12.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),144,Sri Lanka,2017,12.7,2017,13.4,12.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),144,Sri Lanka,2018,12.1,2018,12.8,11.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),144,Sri Lanka,2019,11.6,2019,12.2,11,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),144,Sri Lanka,2020,11.1,2020,11.8,10.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),144,Sri Lanka,2021,10.8,2021,11.4,10.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),144,Sri Lanka,2022,10.5,2022,11.2,9.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),144,Sri Lanka,2023,10.2,2023,11,9.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),144,Sri Lanka,2024,10.1,2024,10.9,9.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),356,India,2015,38.7,2015,40.2,37.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),356,India,2016,37.7,2016,39.2,36.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),356,India,2017,36.6,2017,38.2,35.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),356,India,2018,35.6,2018,37.4,33.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),356,India,2019,34.6,2019,36.6,32.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),356,India,2020,33.8,2020,36.1,31.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),356,India,2021,33.3,2021,35.9,30.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),356,India,2022,33,2022,36,30.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),356,India,2023,32.8,2023,36.2,29.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),356,India,2024,32.9,2024,36.6,29.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),360,Indonesia,2015,31,2015,32.3,29.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),360,Indonesia,2016,29.8,2016,31,28.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),360,Indonesia,2017,28.5,2017,29.6,27.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),360,Indonesia,2018,27.3,2018,28.3,26.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),360,Indonesia,2019,26.1,2019,27.2,25.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),360,Indonesia,2020,25.1,2020,26.2,24.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),360,Indonesia,2021,24.3,2021,25.4,23.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),360,Indonesia,2022,23.7,2022,24.9,22.5,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),360,Indonesia,2023,23.1,2023,24.5,21.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),360,Indonesia,2024,22.6,2024,24.2,21.1,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),458,Malaysia,2015,19.5,2015,20.7,18.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),458,Malaysia,2016,20,2016,21.2,18.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),458,Malaysia,2017,20.5,2017,21.6,19.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),458,Malaysia,2018,20.8,2018,22,19.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),458,Malaysia,2019,21.2,2019,22.5,20,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),458,Malaysia,2020,21.6,2020,23.1,20.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),458,Malaysia,2021,22.2,2021,23.9,20.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),458,Malaysia,2022,23,2022,24.8,21.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),458,Malaysia,2023,23.7,2023,25.9,21.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),458,Malaysia,2024,24.3,2024,26.8,22,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),524,Nepal,2015,35.7,2015,36.9,34.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),524,Nepal,2016,34.2,2016,35.5,33,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),524,Nepal,2017,32.7,2017,34,31.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),524,Nepal,2018,31.1,2018,32.5,29.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),524,Nepal,2019,29.7,2019,31.1,28.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),524,Nepal,2020,28.5,2020,30.1,26.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),524,Nepal,2021,27.5,2021,29.3,25.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),524,Nepal,2022,26.9,2022,28.9,25,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),524,Nepal,2023,26.3,2023,28.6,24.2,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),524,Nepal,2024,26,2024,28.5,23.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),586,Pakistan,2015,41.8,2015,43.8,39.8,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),586,Pakistan,2016,40.7,2016,42.9,38.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),586,Pakistan,2017,39.5,2017,42,37,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),586,Pakistan,2018,38.1,2018,41,35.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),586,Pakistan,2019,36.8,2019,40.1,33.6,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),586,Pakistan,2020,35.6,2020,39.4,32,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
2,2.2,2.2.1,SH_STA_STNT,Proportion of children moderately or severely stunted (%),586,Pakistan,2021,34.7,2021,38.9,30.7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",,<5Y,,M,A,G,BOTHSEX,PER_POP_U5
